event_id,Mw,epi_dist
IT-1980-0028,4.5,42.3
IT-1980-0030,4.6,4.5
IT-1980-0031,4.0,13.7
IT-1980-0032,4.0,31.9
IT-1980-0033,4.2,10.1
IT-1980-0034,4.1,12.0
IT-1982-0002,5.0,41.3
IT-1982-0004,4.1,14.9
IT-1982-0005,4.1,10.7
IT-1982-0008,4.0,16.8
IT-1984-0003,4.0,16.4
IT-1984-0007,4.1,10.8
IT-1984-0010,4.4,9.2
IT-1984-0011,4.0,9.1
IT-1984-0013,4.3,11.9
IT-1984-0015,4.4,4.5
IT-1997-0129,4.2,11.3
IT-2009-0328,4.4,64.8
IT-2011-0061,4.1,29.0
IT-2012-0043,3.4,176.0
IT-2012-0045,3.4,175.3
SI-1998-0017,4.3,24.5
