event_id,Mag,list_records,count_records
EMSC-20140407_0000141,4,"['FR.SURF.HNE.EMSC-20140407_0000141.csv', 'FR.SURF.HNN.EMSC-20140407_0000141.csv']",2
EMSC-20140524_0000026,6,"['HL.LIA.HNE.EMSC-20140524_0000026.csv', 'HL.LIA.HNN.EMSC-20140524_0000026.csv', 'HL.SMTH.HNE.EMSC-20140524_0000026.csv', 'HL.SMTH.HNN.EMSC-20140524_0000026.csv']",4
EMSC-20140715_0000041,4,"['KO.SHAP.HNE.EMSC-20140715_0000041.csv', 'KO.SHAP.HNN.EMSC-20140715_0000041.csv', 'KO.SMAA.HNE.EMSC-20140715_0000041.csv', 'KO.SMAA.HNN.EMSC-20140715_0000041.csv']",4
EMSC-20140828_0000047,3,"['IT.GAI.HGE.EMSC-20140828_0000047.csv', 'IT.GAI.HGN.EMSC-20140828_0000047.csv']",2
EMSC-20140904_0000009,4,"['KO.MASR.HNE.EMSC-20140904_0000009.csv', 'KO.MASR.HNN.EMSC-20140904_0000009.csv']",2
EMSC-20140904_0000078,5,"['KO.KEMT.HNE.EMSC-20140904_0000078.csv', 'KO.KEMT.HNN.EMSC-20140904_0000078.csv']",2
EMSC-20140907_0000025,4,"['IT.PRT.HGE.EMSC-20140907_0000025.csv', 'IT.PRT.HGN.EMSC-20140907_0000025.csv', 'IT.SMP.HGE.EMSC-20140907_0000025.csv', 'IT.SMP.HGN.EMSC-20140907_0000025.csv']",4
EMSC-20141105_0000059,4,"['YP.AC03.HNE.EMSC-20141105_0000059.csv', 'YP.AC03.HNN.EMSC-20141105_0000059.csv', 'YP.AC10.HNE.EMSC-20141105_0000059.csv', 'YP.AC10.HNN.EMSC-20141105_0000059.csv']",4
EMSC-20141107_0000035,4,"['YP.AC01.HNE.EMSC-20141107_0000035.csv', 'YP.AC01.HNN.EMSC-20141107_0000035.csv', 'YP.AC03.HNE.EMSC-20141107_0000035.csv', 'YP.AC03.HNN.EMSC-20141107_0000035.csv', 'YP.AC09.HNE.EMSC-20141107_0000035.csv', 'YP.AC09.HNN.EMSC-20141107_0000035.csv', 'YP.AC11.HNE.EMSC-20141107_0000035.csv', 'YP.AC11.HNN.EMSC-20141107_0000035.csv']",8
EMSC-20141108_0000098,5,"['YP.AC01.HNE.EMSC-20141108_0000098.csv', 'YP.AC01.HNN.EMSC-20141108_0000098.csv', 'YP.AC03.HNE.EMSC-20141108_0000098.csv', 'YP.AC03.HNN.EMSC-20141108_0000098.csv', 'YP.AC09.HNE.EMSC-20141108_0000098.csv', 'YP.AC09.HNN.EMSC-20141108_0000098.csv', 'YP.AC11.HNE.EMSC-20141108_0000098.csv', 'YP.AC11.HNN.EMSC-20141108_0000098.csv']",8
EMSC-20141122_0000066,5,"['RO.CFR.HNE.EMSC-20141122_0000066.csv', 'RO.CFR.HNN.EMSC-20141122_0000066.csv', 'RO.GHRR.HNE.EMSC-20141122_0000066.csv', 'RO.GHRR.HNN.EMSC-20141122_0000066.csv', 'RO.GISR.HNE.EMSC-20141122_0000066.csv', 'RO.GISR.HNN.EMSC-20141122_0000066.csv', 'RO.ODBI.HNE.EMSC-20141122_0000066.csv', 'RO.ODBI.HNN.EMSC-20141122_0000066.csv', 'RO.PETR.HNE.EMSC-20141122_0000066.csv', 'RO.PETR.HNN.EMSC-20141122_0000066.csv', 'RO.TUDR.HNE.EMSC-20141122_0000066.csv', 'RO.TUDR.HNN.EMSC-20141122_0000066.csv']",12
EMSC-20141124_0000030,4,"['YP.AC03.HNE.EMSC-20141124_0000030.csv', 'YP.AC03.HNN.EMSC-20141124_0000030.csv', 'YP.AC09.HNE.EMSC-20141124_0000030.csv', 'YP.AC09.HNN.EMSC-20141124_0000030.csv', 'YP.AC10.HNE.EMSC-20141124_0000030.csv', 'YP.AC10.HNN.EMSC-20141124_0000030.csv']",6
EMSC-20141211_0000058,4,"['YP.AC03.HNE.EMSC-20141211_0000058.csv', 'YP.AC03.HNN.EMSC-20141211_0000058.csv', 'YP.AC09.HNE.EMSC-20141211_0000058.csv', 'YP.AC09.HNN.EMSC-20141211_0000058.csv']",4
EMSC-20141224_0000053,4,"['IT.SGPA.01.HGE.EMSC-20141224_0000053.csv', 'IT.SGPA.01.HGN.EMSC-20141224_0000053.csv']",2
EMSC-20150416_0000081,5,"['GE.KARP.HNE.EMSC-20150416_0000081.csv', 'GE.KARP.HNN.EMSC-20150416_0000081.csv', 'HL.KARP.HNE.EMSC-20150416_0000081.csv', 'HL.KARP.HNN.EMSC-20150416_0000081.csv', 'HL.ZKR.HNE.EMSC-20150416_0000081.csv', 'HL.ZKR.HNN.EMSC-20150416_0000081.csv']",6
EMSC-20150903_0000026,4,"['KO.SMAA.HNE.EMSC-20150903_0000026.csv', 'KO.SMAA.HNN.EMSC-20150903_0000026.csv']",2
EMSC-20150922_0000022,4,"['KO.SHAP.HNE.EMSC-20150922_0000022.csv', 'KO.SHAP.HNN.EMSC-20150922_0000022.csv', 'KO.SMAA.HNE.EMSC-20150922_0000022.csv', 'KO.SMAA.HNN.EMSC-20150922_0000022.csv']",4
EMSC-20150922_0000029,4,"['KO.SHAP.HNE.EMSC-20150922_0000029.csv', 'KO.SHAP.HNN.EMSC-20150922_0000029.csv', 'KO.SMAA.HNE.EMSC-20150922_0000029.csv', 'KO.SMAA.HNN.EMSC-20150922_0000029.csv']",4
EMSC-20151006_0000093,5,"['KO.DEMR.HNE.EMSC-20151006_0000093.csv', 'KO.DEMR.HNN.EMSC-20151006_0000093.csv']",2
EMSC-20151013_0000094,4,"['KO.SHAP.HNE.EMSC-20151013_0000094.csv', 'KO.SHAP.HNN.EMSC-20151013_0000094.csv', 'KO.SMAA.HNE.EMSC-20151013_0000094.csv', 'KO.SMAA.HNN.EMSC-20151013_0000094.csv']",4
EMSC-20160107_0000004,4,"['KO.ERCV.HNE.EMSC-20160107_0000004.csv', 'KO.ERCV.HNN.EMSC-20160107_0000004.csv']",2
EMSC-20160530_0000085,4,"['IT.CSD.HGE.EMSC-20160530_0000085.csv', 'IT.CSD.HGN.EMSC-20160530_0000085.csv']",2
EMSC-20160824_0000006,6,"['IT.AMT.HGE.EMSC-20160824_0000006.csv', 'IT.AMT.HGN.EMSC-20160824_0000006.csv', 'IT.AQG.HGE.EMSC-20160824_0000006.csv', 'IT.AQG.HGN.EMSC-20160824_0000006.csv', 'IT.AQK.HGE.EMSC-20160824_0000006.csv', 'IT.AQK.HGN.EMSC-20160824_0000006.csv', 'IT.AQV.HGE.EMSC-20160824_0000006.csv', 'IT.AQV.HGN.EMSC-20160824_0000006.csv', 'IT.ASP.HGE.EMSC-20160824_0000006.csv', 'IT.ASP.HGN.EMSC-20160824_0000006.csv', 'IT.CLF.HGE.EMSC-20160824_0000006.csv', 'IT.CLF.HGN.EMSC-20160824_0000006.csv', 'IT.CSC.HGE.EMSC-20160824_0000006.csv', 'IT.CSC.HGN.EMSC-20160824_0000006.csv', 'IT.FOC.HGE.EMSC-20160824_0000006.csv', 'IT.FOC.HGN.EMSC-20160824_0000006.csv', 'IT.FOS.HGE.EMSC-20160824_0000006.csv', 'IT.FOS.HGN.EMSC-20160824_0000006.csv', 'IT.MCT.HGE.EMSC-20160824_0000006.csv', 'IT.MCT.HGN.EMSC-20160824_0000006.csv', 'IT.MNF.HGE.EMSC-20160824_0000006.csv', 'IT.MNF.HGN.EMSC-20160824_0000006.csv', 'IT.MSC.HGE.EMSC-20160824_0000006.csv', 'IT.MSC.HGN.EMSC-20160824_0000006.csv', 'IT.MSCT.HGE.EMSC-20160824_0000006.csv', 'IT.MSCT.HGN.EMSC-20160824_0000006.csv', 'IT.MTL.HGE.EMSC-20160824_0000006.csv', 'IT.MTL.HGN.EMSC-20160824_0000006.csv', 'IT.MTR.HGE.EMSC-20160824_0000006.csv', 'IT.MTR.HGN.EMSC-20160824_0000006.csv', 'IT.NCR.HGE.EMSC-20160824_0000006.csv', 'IT.NCR.HGN.EMSC-20160824_0000006.csv', 'IT.NOR.HGE.EMSC-20160824_0000006.csv', 'IT.NOR.HGN.EMSC-20160824_0000006.csv', 'IT.NRC.HGE.EMSC-20160824_0000006.csv', 'IT.NRC.HGN.EMSC-20160824_0000006.csv', 'IT.PCB.HGE.EMSC-20160824_0000006.csv', 'IT.PCB.HGN.EMSC-20160824_0000006.csv', 'IT.SNO.HGE.EMSC-20160824_0000006.csv', 'IT.SNO.HGN.EMSC-20160824_0000006.csv', 'IT.SPD.HGE.EMSC-20160824_0000006.csv', 'IT.SPD.HGN.EMSC-20160824_0000006.csv', 'IT.SPM.HGE.EMSC-20160824_0000006.csv', 'IT.SPM.HGN.EMSC-20160824_0000006.csv', 'IT.TER.HGE.EMSC-20160824_0000006.csv', 'IT.TER.HGN.EMSC-20160824_0000006.csv', 'IT.TLN.HGE.EMSC-20160824_0000006.csv', 'IT.TLN.HGN.EMSC-20160824_0000006.csv', 'IT.TRE.HGE.EMSC-20160824_0000006.csv', 'IT.TRE.HGN.EMSC-20160824_0000006.csv', 'IT.VAL.HGE.EMSC-20160824_0000006.csv', 'IT.VAL.HGN.EMSC-20160824_0000006.csv', 'IV.FEMA.HNE.EMSC-20160824_0000006.csv', 'IV.FEMA.HNN.EMSC-20160824_0000006.csv', 'IV.GAG1.HNE.EMSC-20160824_0000006.csv', 'IV.GAG1.HNN.EMSC-20160824_0000006.csv', 'IV.MDAR.HNE.EMSC-20160824_0000006.csv', 'IV.MDAR.HNN.EMSC-20160824_0000006.csv', 'IV.MNTP.HNE.EMSC-20160824_0000006.csv', 'IV.MNTP.HNN.EMSC-20160824_0000006.csv', 'IV.RM33.HNE.EMSC-20160824_0000006.csv', 'IV.RM33.HNN.EMSC-20160824_0000006.csv', 'IV.SSFR.HNE.EMSC-20160824_0000006.csv', 'IV.SSFR.HNN.EMSC-20160824_0000006.csv', 'IV.TERO.HNE.EMSC-20160824_0000006.csv', 'IV.TERO.HNN.EMSC-20160824_0000006.csv', 'IV.TRE1.HNE.EMSC-20160824_0000006.csv', 'IV.TRE1.HNN.EMSC-20160824_0000006.csv']",68
EMSC-20160824_0000007,4,"['IT.AMT.HGE.EMSC-20160824_0000007.csv', 'IT.AMT.HGN.EMSC-20160824_0000007.csv', 'IT.PCB.HGE.EMSC-20160824_0000007.csv', 'IT.PCB.HGN.EMSC-20160824_0000007.csv']",4
